TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
FC Barcelona ,Argentina,Delantero|Delantero central|Extremo (Extremo derecho),33,Sobresaliente,Lionel Messi
Juventus ,Portugal,Delantero|Extremo (Extremo izquierdo),35,Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensa central,29,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Portero,27,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Mediocampista central|Mediocampista ofensivo,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero|Extremo (Extremo izquierdo),29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Portero,27,Sobresaliente,Alisson
Liverpool ,Egypt,Delantero|Extremo (Extremo derecho),28,Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo (Extremo izquierdo),28,Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Delantero,32,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),21,Sobresaliente,Kylian Mbappé
Chelsea ,France,Mediocampista defensivo|Mediocampista central,29,Muy bueno,N'Golo Kanté
Tottenham Hotspur ,England,Delantero,27,Sobresaliente,Harry Kane
FC Barcelona ,France,Delantero|Delantero central|Extremo (Extremo izquierdo),29,Muy bueno,Antoine Griezmann
Real Madrid ,Germany,Mediocampista central,30,Muy bueno,Toni Kroos
Real Madrid ,Croatia,Mediocampista central,34,Muy bueno,Luka Modric
FC Barcelona ,Uruguay,Delantero,33,Muy bueno,Luis Suárez
FC Bayern München ,Germany,Portero,34,Muy bueno,Manuel Neuer
Real Madrid ,Spain,Defensa central,34,Muy bueno,Sergio Ramos
Manchester City ,Brazil,Portero,26,Sobresaliente,Ederson
Manchester City ,England,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),25,Sobresaliente,Raheem Sterling
Liverpool ,Brazil,Delantero central,28,Muy bueno,Roberto Firmino
Napoli ,Senegal,Defensa central,29,Sobresaliente,Kalidou Koulibaly
Real Madrid ,Brazil,Mediocampista defensivo,28,Muy bueno,Casemiro
Manchester United ,Spain,Portero,29,Muy bueno,De Gea
Real Madrid ,Belgium,Portero,28,Muy bueno,Thibaut Courtois
FC Barcelona ,Spain,Mediocampista defensivo,32,Muy bueno,Sergio Busquets
Arsenal ,Gabon,Delantero|Mediocampista lateral (Mediocampista derecho),31,Muy bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Delantero|Delantero central,32,Muy bueno,Karim Benzema
Inter ,Slovenia,Portero,36,Muy bueno,Samir Handanovic
FC Barcelona ,Spain,Defensa central,33,Muy bueno,Piqué
Juventus ,Italy,Defensa central,35,Muy bueno,Giorgio Chiellini
Manchester City ,Portugal,Mediocampista central|Mediocampista ofensivo|Extremo (Extremo derecho),25,Sobresaliente,Bernardo Silva
FC Bayern München ,Germany,Defensa lateral|Mediocampista defensivo|Mediocampista central,25,Sobresaliente,Joshua Kimmich
Manchester City ,France,Defensa central,26,Sobresaliente,Aymeric Laporte
Juventus ,Argentina,Mediocampista ofensivo|Delantero central,26,Sobresaliente,Paulo Dybala
Tottenham Hotspur ,Korea Republic,Mediocampista lateral (Mediocampista derecho)|Delantero central,28,Muy bueno,Heung Min Son
Paris Saint-Germain ,Italy,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Marco Verratti
Manchester United ,France,Mediocampista defensivo|Mediocampista central,27,Muy bueno,Paul Pogba
Paris Saint-Germain ,Costa Rica,Portero,33,Muy bueno,Keylor Navas
Lazio ,Italy,Delantero,30,Muy bueno,Ciro Immobile
Inter ,Denmark,Mediocampista lateral|Mediocampista central|Mediocampista ofensivo,28,Muy bueno,Christian Eriksen
Valencia CF ,Spain,Mediocampista central,31,Muy bueno,Parejo
Borussia Dortmund ,Germany,Mediocampista ofensivo|Delantero central,31,Muy bueno,Marco Reus
Juventus ,Poland,Portero,30,Muy bueno,Wojciech Szczesny
Paris Saint-Germain ,Argentina,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),32,Muy bueno,Ángel Di María
Inter ,Uruguay,Defensa central,34,Muy bueno,Diego Godín
Borussia Dortmund ,Germany,Defensa central,31,Muy bueno,Mats Hummels
Napoli ,Belgium,Delantero|Delantero central,33,Muy bueno,Dries Mertens
Manchester City ,Spain,Mediocampista central|Mediocampista ofensivo,34,Muy bueno,David Silva
Tottenham Hotspur ,France,Portero,33,Muy bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensa central,35,Muy bueno,Thiago Silva
Borussia Dortmund ,England,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,20,Sobresaliente,Jadon Sancho
Inter ,Slovakia,Defensa central,25,Sobresaliente,Milan Škriniar
FC Barcelona ,Netherlands,Mediocampista central,23,Sobresaliente,Frenkie de Jong
Manchester City ,Germany,Extremo (Extremo izquierdo),24,Sobresaliente,Leroy Sané
FC Barcelona ,France,Defensa central,25,Sobresaliente,Clément Lenglet
Liverpool ,Scotland,Defensa lateral (lateral derecha),26,Muy bueno,Andrew Robertson
Manchester United ,Portugal,Mediocampista central|Mediocampista ofensivo,25,Muy bueno,Bruno Fernandes
RB Leipzig ,Germany,Delantero,24,Muy bueno,Timo Werner
Liverpool ,Brazil,Mediocampista defensivo,26,Muy bueno,Fabinho
Leicester City ,England,Delantero,33,Muy bueno,Jamie Vardy
Ajax ,Morocco,Mediocampista ofensivo|Extremo (Extremo derecho),27,Muy bueno,Hakim Ziyech
Paris Saint-Germain ,Brazil,Defensa central|Mediocampista defensivo,26,Sobresaliente,Marquinhos
Manchester City ,Algeria,Mediocampista lateral|Extremo (Extremo derecho),29,Muy bueno,Riyad Mahrez
Real Madrid ,France,Defensa central,27,Muy bueno,Raphaël Varane
Paris Saint-Germain ,Argentina,Delantero,27,Muy bueno,Mauro Icardi
Napoli ,Italy,Mediocampista lateral (Mediocampista derecho)|Delantero central|Extremo (Extremo izquierdo),29,Muy bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,28,Muy bueno,Koke
Inter ,Belgium,Delantero,27,Muy bueno,Romelu Lukaku
FC Bayern München ,Spain,Mediocampista defensivo|Mediocampista central,29,Muy bueno,Thiago
FC Barcelona ,Spain,Defensa lateral (lateral derecha),31,Muy bueno,Jordi Alba
Juventus ,Italy,Defensa central,33,Muy bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensa central,31,Muy bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Mediocampista defensivo|Mediocampista central,30,Muy bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Delantero,33,Muy bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Portero,31,Muy bueno,Yann Sommer
Atalanta ,Argentina,Delantero|Mediocampista ofensivo|Delantero central,32,Muy bueno,Alejandro Gómez
Juventus ,Netherlands,Defensa central,20,Sobresaliente,Matthijs de Ligt
Manchester City ,Spain,Mediocampista defensivo|Mediocampista central,24,Muy bueno,Rodri
Liverpool ,England,Defensa lateral,21,Sobresaliente,Trent Alexander-Arnold
FC Barcelona ,Brazil,Mediocampista central,23,Sobresaliente,Arthur
Milan ,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
Ajax ,Cameroon,Portero,24,Muy bueno,André Onana
Lazio ,Serbia,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,25,Sobresaliente,Sergej Milinkovic-Savic
Real Betis ,France,Delantero|Mediocampista lateral|Mediocampista ofensivo,27,Muy bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensa central,25,Muy bueno,José María Giménez
