Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Nombre
Santa Cruz,1435,500.0,150.0,"-50.25, -72.65",Lago Argentino
Santa Cruz,1166,,,"-49.62, -72.5",Lago Viedma
Río Negro / Neuquén,540,464.0,157.0,"-40.85, -71.62",Lago Nahuel Huapi
Chubut,427,39.0,20.0,"-45.41, -69.2",Lago Musters
Santa Cruz,358,,49.0,"-48.92, -71.21",Lago Cardiel
Buenos Aires,156,11.0,7.0,"-37.13, -62.86",Lago Epecuén
Río Negro,116,,,"-38.71, -67.97",Lago Pellegrini
Santa Cruz,100,,,"-48.43, -71.19",Lago Strobel
Chubut,84,,79.0,"-44.92, -71.5",Lago Fontana
Neuquén,84,,142.0,"-39.77, -71.51",Lago Huechulafquen
Neuquén,78,,,"-40.63, -71.42",Lago Traful
Chubut,73,,,"-44.86, -71.82",Lago La Plata
Santa Cruz,65,,,"-47.29, -71.53",Lago Ghío
Chubut,58,287.0,149.0,"-42.69, -71.86",Lago Menéndez
Neuquén,58,165.0,64.0,"-38.92, -71.13",Lago Aluminé
Neuquén,53,277.0,166.0,"-40.16, -71.44",Lago Lácar
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43.0,"-54.41, -67.72",Lago Yehuin
Santa Cruz,47,,,"-48.42, -71.55",Lago Quiroga
Chubut,47,180.0,111.0,"-42.15, -71.65",Lago Puelo
Santa Cruz,42,,,"-47.98, -72.35",Lago Nansen
Santa Cruz,42,,,"-47.84, -72.14",Lago Belgrano
Chubut,42,168.0,101.0,"-42.83, -71.68",Lago Futalaufquen
Santa Cruz,41,,31.0,"-47.49, -71.83",Lago Posadas
Neuquén,40,,,"-40.68, -71.71",Lago Espejo
Río Negro,39,218.0,111.0,"-41.35, -71.55",Lago Mascardi
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"-54.39, -67.59",Lago Chepelmut
Santa Cruz,37,,,"-47.5, -71.61",Lago Salitroso o Sucio
Neuquén,37,,,"-40.04, -71.54",Lago Lolog
Santa Cruz,30,,,"-49.23, -72.02",Lago Tar
Neuquén,29,,69.0,"-39.53, -71.45",Lago Tromen
Chubut,28,,,"-45.89, -71.22",Lago Blanco
Neuquén,26,,,"-39.41, -71.31",Lago Quillén
Santa Cruz,23,,,"-47.86, -71.47",Lago Asador o Guitarra
Chubut,23,147.0,104.0,"-42.61, -71.67",Lago Rivadavia
Neuquén,21,,,"-38.9, -71.27",Lago Moquehue
Neuquén,20,,,"-40.7, -71.66",Lago Correntoso
Chubut,20,,,"-45.59, -68.55",Lago Río Chico
Santa Cruz,20,,,"-48.5, -71.58",Lago Quiroga Chico
Chubut,17,148.0,92.0,"-42.19, -71.51",Lago Epuyén
Río Negro,17,111.0,80.0,"-41.21, -71.42",Lago Gutiérrez
Chubut,17,108.0,49.0,"-42.46, -71.67",Lago Cholila
Neuquén,16,,66.0,"-39.72, -71.58",Lago Paimún
Santa Cruz,16,,,"-47.85, -72.27",Lago Azara
Santa Cruz,14,,,"-47.96, -72.2",Lago Burmeister
Santa Cruz,14,,,"-50.11, -73.35",Lago Onelli
Neuquén,14,,,"-40.33, -71.32",Lago Meliquina
Río Negro,12,,,"-41.07, -71.54",Lago Perito Moreno
Neuquén,12,,,"-39.84, -71.51",Lago Currhué
Neuquén,11,,,"-40.48, -71.48",Lago Falkner
Chubut,10,,,"-44.24, -71.5",Lago Pico Nº 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"-54.69, -65.81",Lago Río Bueno
Chubut,10,57.0,25.0,"-43.26, -71.35",Lago Rosario
Santa Cruz,843,,,"-46.44, -71.71",Lago Buenos Aires
Santa Cruz,537,,,"-48.9, -72.7",Lago San Martín
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81.0,"-54.56, -67.89",Lago Fagnano
Santa Cruz,125,,,"-47.36, -71.93",Lago Pueyrredón
Chubut,96,,,"-43.93, -71.53",Lago General Vintter
