Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,discover; dangerous; unmasked,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,corruption; gotham; known,The Batman
Thriller,en,2022-02-25,6.3,stranded; sets; belonging,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,last; gift; vibrant,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,stop; worst; wipe,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,money; agent; moneyhungry,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,secrets; quiet; brutal,Scream
Thriller,en,2022-02-10,6.3,met; tries; most:,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,tracks; revenge; bangkok,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,ancient; aliens; ancient,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,prisoner; crosses; ruthless,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,future; theory; form,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,spirals; going; control,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,ambitious; few; than,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,fearless; buck's; off,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,across; invention; each,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,mask; wears; ghost,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,circle; getaway; storm,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,boyfriend; races; loses,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,fbi's; together; red,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,run; crystal; idea,Sing 2
Horror,en,2022-01-03,5.4,see; illness; deal,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,finding; investigative; eddie,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,neo's; turn; matrix,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,corporation; uncover; city,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,involved; he's; hermit,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,georgia; rural; small,American Siege
"Action, Adventure",en,2022-02-10,7.1,also; longlost; found”,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,rengoku; tormenting; head,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,begin; mom; kids,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,german; agencies; american,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,behind; organization; shangchi,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,crowd; bastian; unfaithful,Marry Me
Horror,en,2022-01-21,5.8,uncover; forest; threatens,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,respective; toward; gangs,West Side Story
"Romance, Drama",es,2022-02-04,7.8,something; raquel's; family's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,demons; king; sin,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,black; prisoner; site,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,desperado; cowgirl; varmints,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,prevent; disaster; even,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,men; billy; ride,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,casey; emily; unconditional,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,madea's; hallelujer!; drama,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,templeton; —; cando,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,awkwardness; panda; twist,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,writer; comes; mystery,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,poor; house; anxious,The House
"Action, Thriller",en,2022-02-10,5.1,echelons; agent; reaches,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,best; quite; robot,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,offline; bank; video,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,fashion; make; raucous,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,peacemaker; nutty; bloodsport,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,plusaversary; party; music,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,running; decision; boy,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,threatened; deeplyheld; riviera,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,washedup; hunted; heritage,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,proportions; recruit; catastrophic,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,treacherous; uprising—in; stronghold,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,virginity; seen; roger,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,potentialonly; universe; planet's,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,surrounded; belogorie; old,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,elite; supernatural; attending,The Privilege
Horror,en,2021-06-11,6.4,could; known; ancient,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,dangerous; could; consequences,Antlers
"Action, Thriller",en,2021-11-05,6.4,relentless; heads; gang,Dangerous
"Romance, Drama",en,2021-09-01,7.2,discovers; able; decision,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,trail; active; treacherous,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,pulls; fearless; city,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog; means; postapocalyptic,Finch
"Thriller, Horror",es,2021-07-23,5.4,abdomens; people; wake,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,metropolis; called; ryder,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,six; continued; avengers,Avengers: Infinity War
